Book ID,Member ID,Reservation Date,Checkout Date,Return Date,Available
1,8732,1/1/2003,3/1/2003, ,Y
18,1074, ,3/2/2003,8/10/2003,Y
8,1287,9/2/2003,19/2/2003, ,N
19,1793,6/8/2003, , ,N
20,2673,2/12/2003,2/1/2004,27/1/2004,Y
16,2156,3/3/2004,18/3/2004,2/5/2004,Y
12,9924,19/2/2004,4/3/2004,17/4/2004,Y
3,1917,11/6/2005, , ,N
14,1263,11/10/2004,16/10/2004,29/10/2004,Y
4,3648,12/11/2004,19/11/2004, ,N
7,3873, ,26/11/2004, ,N
13,2784,3/10/2005,13/10/2005,29/10/2005,Y
4,6374, ,20/1/2005,7/2/2005,Y
2,5443,27/2/2005,5/3/2005,10/3/2005,Y
1,3945, ,5/3/2005, ,N
6,9348,5/2/2006,4/3/2006,8/5/2006,Y
7,5790,15/1/2006,19/1/2006,16/2/2006,Y
4,2173, ,21/2/2006,24/3/2006,Y
12,9234,11/8/2006,31/8/2006,16/9/2006,Y
7,2384,2/8/2007,7/10/2007,30/10/2007,N
8,9236,24/3/2008,28/3/2008,10/4/2008,Y
19,2537, ,16/10/2006,26/10/2006,Y
10,2172,3/5/2009,9/9/2009,8/11/2009,Y
9,3749,10/6/2009,15/6/2009,31/6/2009,Y
2,3758, ,16/9/2009, ,N
16,8379,23/1/2010,18/2/2010,28/2/2010,Y
3,7284,25/6/2011,5/8/2011, ,N
9,8395,25/7/2011,5/8/2011,18/8/2011,Y
15,2356,21/8/2011,26/8/2011,20/9/2011,Y
20,1278,3/10/2012,8/11/2012, ,Y
1,8394,2/3/2012,8/4/2012,16/4/2012,N
3,8336, ,23/1/2012,28/1/2012,Y
18,4482, ,29/1/2012, ,N
15,2984, ,15/6/2012,26/6/2012,Y
3,7238,7/7/2012,10/8/2012,21/8/2012,Y
17,8210,2/8/2012,6/8/2012,17/8/2012,Y
7,2734,14/12/2012,7/1/2013,27/1/2013,Y
9,4875,9/2/2013,19/6/2013,25/6/2013,Y
17,8263, ,3/2/2013,15/2/2013,10/3/2013
15,9163,7/5/2013,22/5/2013, ,N
13,2734, ,6/11/2013,17/11/2013,Y
12,1777,28/12/2013,24/1/2014,27/2/2014,Y
4,3644, ,23/4/2014, ,N
3,1239,14/9/2014,28/9/2014, ,N
20,8855,4/10/2015,22/10/2015,24/10/2015,Y
2,3489, ,1/11/2015, ,N
8,1278,14/11/2015,24/11/2015,13/12/2015,Y
15,2731,17/1/2016,23/1/2016,18/07/2016,N
5,4484, ,15/4/2016,7/6/2016,18/7/2016
8,2788,9/9/2016, , ,N
9,2364,13/10/2016,24/10/2016,28/10/2016,Y
18,1113,8/5/2017, , ,N
11,9356, ,6/7/2017, 28/7/2017,Y
19,9374, ,20/10/2017, ,N
6,4284,16/4/2018,20/4/2018, ,N
14,1927,4/5/2018, , ,Y
1,2004,3/6/2018,10/6/2018,7/7/2018,Y
16,3845,1/1/2019,24/1/2019, ,N
12,9384,3/9/2019,9/11/2019,12/11/2019,Y
13,2235, ,14/8/2020, ,N
17,9012,20/9/2020,9/10/2020, ,Y
8,1446,8/1/2020, , ,N
2,3842,12/3/2021, , ,N
6,8193,15/9/2021,16/9/2021, ,N
8,3333,3/1/2022,4/3/2022,1/4/2022,Y
4,2389,9/9/2022, , ,N
